mes referencia,ano referencia,id_funcionario,nome,tipo_desligamento,data_demissao,cargo
março,2024,128-72-1290,Hestia Pierrepoint,Dispensa sem Justa Causa,2024-09-06,supervisor de planejamento
janeiro,2024,268-77-1478,Cornall Mathews,Pedido de Demissão,2024-04-23,supervisor de planejamento
agosto,2024,332-97-6217,Krystle Baude,Pedido de Demissão,2024-09-26,supervisor de planejamento
agosto,2024,218-68-9431,Kale Credland,Dispensa sem Justa Causa,2024-06-11,diretor de criacao
julho,2024,632-99-8554,Sela Elphee,Pedido de Demissão,2024-11-21,gerente de planejamento
maio,2024,450-26-4433,Chevalier Duffett,Dispensa sem Justa Causa,2024-03-31,supervisor de planejamento
março,2024,263-32-9975,Trever Philippsohn,Pedido de Demissão,2024-12-07,gerente de planejamento
dezembro,2024,972-65-5493,Emmalynne Marsie,Dispensa sem Justa Causa,2024-05-29,executivo de contas
março,2024,950-66-1122,Warner Dudliston,Pedido de Demissão,2024-05-13,coordenador de midia
junho,2024,241-37-1560,Vernon O'Hagerty,Dispensa sem Justa Causa,2024-01-12,supervisor de planejamento
maio,2024,814-84-9884,Pansy Eldridge,Pedido de Demissão,2024-07-21,executivo de contas
dezembro,2024,959-40-3862,Ali Botright,Dispensa sem Justa Causa,2024-08-12,gerente de planejamento
novembro,2024,626-68-9653,Jewelle McLenahan,Pedido de Demissão,2024-03-15,supervisor de planejamento
julho,2024,629-26-1730,Perla St. Quentin,Pedido de Demissão,2024-06-20,executivo de contas
outubro,2024,222-24-1707,Odelinda Castelletti,Dispensa sem Justa Causa,2024-08-20,gerente de planejamento
setembro,2024,771-58-3823,Brana McBean,Dispensa sem Justa Causa,2024-12-25,coordenador de midia
dezembro,2024,880-56-4864,Anatollo Wellstood,Dispensa sem Justa Causa,2024-12-24,executivo de contas
novembro,2024,549-83-8204,Harris Barnson,Dispensa sem Justa Causa,2024-08-20,gerente de negocios
março,2024,855-18-5389,Caryn Bowmer,Dispensa sem Justa Causa,2024-11-07,coordenador de midia
dezembro,2024,572-32-3056,Jorie Stealy,Dispensa sem Justa Causa,2024-06-03,coordenador de midia
julho,2024,158-56-3308,Bambie Goodbourn,Dispensa sem Justa Causa,2024-07-10,gerente de planejamento
setembro,2024,446-22-7187,Coral Kirman,Dispensa sem Justa Causa,2024-06-09,supervisor de planejamento
agosto,2024,705-28-2228,Mavis Nodes,Dispensa sem Justa Causa,2024-10-15,gerente de planejamento
março,2024,161-39-6657,Lorette Southern,Pedido de Demissão,2024-07-28,coordenador de midia
maio,2024,782-78-2413,Ami Drinkeld,Pedido de Demissão,2024-11-24,supervisor de planejamento
abril,2024,890-39-3157,Teador Lidbetter,Dispensa sem Justa Causa,2024-04-07,diretor de criacao
novembro,2024,153-78-5370,Annabela Dolling,Pedido de Demissão,2024-12-14,executivo de contas
março,2024,230-65-5930,Gaby Piel,Pedido de Demissão,2024-08-11,executivo de contas
junho,2024,794-22-2084,Tuckie Bent,Pedido de Demissão,2024-04-20,supervisor de planejamento
janeiro,2024,752-95-4708,Kendricks McGarel,Pedido de Demissão,2024-10-14,supervisor de planejamento
dezembro,2024,418-61-5514,Rosene Orrey,Pedido de Demissão,2024-05-31,supervisor de planejamento
agosto,2024,476-24-1913,Billie Epperson,Dispensa sem Justa Causa,2024-07-30,gerente de negocios
agosto,2024,261-47-4090,Everett Gofton,Dispensa sem Justa Causa,2024-10-06,gerente de planejamento
julho,2024,870-23-1966,Caprice Balharry,Dispensa sem Justa Causa,2024-01-10,supervisor de planejamento
fevereiro,2024,772-12-1710,Crissie Lovatt,Dispensa sem Justa Causa,2024-11-16,diretor de criacao
outubro,2024,261-88-9527,Elbert Hickenbottom,Pedido de Demissão,2024-03-03,gerente de negocios
junho,2024,662-75-7942,Jehanna Hearsum,Dispensa sem Justa Causa,2024-10-28,gerente de planejamento
abril,2024,368-20-2735,Shelagh Tulloch,Dispensa sem Justa Causa,2024-04-01,gerente de planejamento
agosto,2024,544-96-1491,Annamarie Craddock,Pedido de Demissão,2024-08-01,coordenador de midia
novembro,2024,769-22-6811,Elka Abbie,Dispensa sem Justa Causa,2024-01-09,supervisor de planejamento
outubro,2024,220-49-1248,Arlyn Kingzet,Pedido de Demissão,2024-02-09,coordenador de midia
abril,2024,969-13-8832,Griffith Maneylaws,Pedido de Demissão,2024-11-05,gerente de planejamento
julho,2024,598-70-4127,Marlie Gino,Pedido de Demissão,2024-05-20,coordenador de midia
junho,2024,605-54-4269,Grant Lingwood,Pedido de Demissão,2024-06-16,supervisor de planejamento
dezembro,2024,221-11-5938,Sheryl Brokenshaw,Pedido de Demissão,2024-09-17,gerente de negocios
abril,2024,389-22-8171,Margery Pauletto,Pedido de Demissão,2024-05-19,gerente de planejamento
abril,2024,996-84-6400,Murry O'Corrigane,Dispensa sem Justa Causa,2024-09-30,supervisor de planejamento
janeiro,2024,794-24-6367,George Wiffield,Pedido de Demissão,2024-05-27,gerente de planejamento
setembro,2024,972-52-3924,Lloyd Rosettini,Pedido de Demissão,2024-05-11,diretor de criacao
julho,2024,970-75-3388,Aila Nobriga,Pedido de Demissão,2024-07-25,coordenador de midia
janeiro,2024,693-63-8548,Petronilla Ladley,Pedido de Demissão,2024-07-30,diretor de criacao
dezembro,2024,765-57-2814,Kaycee Petti,Pedido de Demissão,2024-12-30,gerente de negocios
maio,2024,367-70-5837,Killie Grigoliis,Pedido de Demissão,2024-08-24,executivo de contas
novembro,2024,891-81-8259,Theresita Plaschke,Pedido de Demissão,2024-07-22,gerente de negocios
maio,2024,714-54-5683,Tanner Godwyn,Pedido de Demissão,2024-08-20,coordenador de midia
abril,2024,646-80-4281,Moira Cristou,Dispensa sem Justa Causa,2024-12-17,gerente de planejamento
maio,2024,865-30-7482,Lena Bastick,Dispensa sem Justa Causa,2024-06-05,gerente de negocios
março,2024,346-97-4027,Ardene Threadgall,Dispensa sem Justa Causa,2024-11-14,executivo de contas
fevereiro,2024,610-16-9986,Emanuele Milham,Dispensa sem Justa Causa,2024-04-05,diretor de criacao
dezembro,2024,504-16-2258,Van McConnell,Pedido de Demissão,2024-02-06,executivo de contas
outubro,2024,889-66-1076,Odelinda Troctor,Dispensa sem Justa Causa,2024-02-13,supervisor de planejamento
outubro,2024,575-75-9285,Imelda Ohlsen,Dispensa sem Justa Causa,2024-10-23,gerente de negocios
fevereiro,2024,873-68-7806,Joli Mac Giany,Pedido de Demissão,2024-09-07,gerente de planejamento
setembro,2024,469-94-8046,Leela Choldcroft,Pedido de Demissão,2024-09-25,coordenador de midia
abril,2024,105-12-8281,Deidre Pierucci,Dispensa sem Justa Causa,2024-09-07,executivo de contas
agosto,2024,403-99-3070,Timothea Prettyman,Dispensa sem Justa Causa,2024-08-31,executivo de contas
agosto,2024,739-68-8929,Karisa Sleany,Pedido de Demissão,2024-01-06,supervisor de planejamento
setembro,2024,648-41-9613,Tova Aggott,Pedido de Demissão,2024-08-14,executivo de contas
janeiro,2024,716-72-2562,Darya Kensy,Pedido de Demissão,2024-08-27,supervisor de planejamento
maio,2024,811-23-6967,Lorianne Collabine,Dispensa sem Justa Causa,2024-04-08,diretor de criacao
março,2024,419-41-8756,Damien Impy,Dispensa sem Justa Causa,2024-12-10,gerente de negocios
abril,2024,337-79-6567,Elwood Sutworth,Dispensa sem Justa Causa,2024-02-29,diretor de criacao
dezembro,2024,337-28-1953,Natalya Shalliker,Pedido de Demissão,2024-03-20,diretor de criacao
dezembro,2024,411-38-3965,Sofie Hannigan,Dispensa sem Justa Causa,2024-08-10,diretor de criacao
novembro,2024,521-27-1040,Isabelita Henriksson,Pedido de Demissão,2024-03-13,gerente de planejamento
março,2024,745-64-5261,Natala Eicke,Dispensa sem Justa Causa,2024-05-17,diretor de criacao
setembro,2024,859-51-7616,Elayne Downgate,Pedido de Demissão,2024-12-14,coordenador de midia
setembro,2024,534-68-7549,Marne Dittson,Pedido de Demissão,2024-04-05,executivo de contas
junho,2024,182-38-6297,Emmalyn Eayrs,Dispensa sem Justa Causa,2024-06-23,executivo de contas
abril,2024,814-10-9751,Irita Minto,Pedido de Demissão,2024-06-28,gerente de negocios
março,2024,754-57-8883,Bay Head,Pedido de Demissão,2024-12-19,executivo de contas
novembro,2024,635-91-9455,Jareb Fidock,Dispensa sem Justa Causa,2024-07-01,diretor de criacao
abril,2024,568-87-3870,Edd Gawne,Dispensa sem Justa Causa,2024-01-03,diretor de criacao
julho,2024,906-63-9389,Claretta Indge,Dispensa sem Justa Causa,2024-01-23,gerente de planejamento
novembro,2024,194-69-9473,Aliza Casey,Pedido de Demissão,2024-05-03,gerente de negocios
julho,2024,679-60-6502,Midge Manzell,Pedido de Demissão,2024-11-14,supervisor de planejamento
agosto,2024,679-24-5670,Mary Leitch,Dispensa sem Justa Causa,2024-12-08,diretor de criacao
setembro,2024,135-10-1767,Pattie Sandom,Pedido de Demissão,2024-04-27,diretor de criacao
maio,2024,782-41-8071,Erastus Greggersen,Dispensa sem Justa Causa,2024-08-24,gerente de negocios
janeiro,2024,682-67-1300,Griff Kirman,Dispensa sem Justa Causa,2024-11-21,coordenador de midia
agosto,2024,142-79-5585,Filmer Sobey,Dispensa sem Justa Causa,2024-12-09,diretor de criacao
outubro,2024,815-98-1634,Siobhan Lillford,Pedido de Demissão,2024-01-02,gerente de planejamento
agosto,2024,905-28-5802,Caleb Sheard,Dispensa sem Justa Causa,2024-06-21,diretor de criacao
dezembro,2024,641-26-9152,Kare Samwell,Dispensa sem Justa Causa,2024-07-18,supervisor de planejamento
novembro,2024,829-89-6477,Wilfred Esbrook,Pedido de Demissão,2024-07-05,executivo de contas
abril,2024,124-40-4891,Eb Rintoul,Dispensa sem Justa Causa,2024-10-14,supervisor de planejamento
outubro,2024,904-96-5846,Junia Sentinella,Pedido de Demissão,2024-03-20,gerente de planejamento
outubro,2024,103-54-2222,Gwyneth Baulk,Dispensa sem Justa Causa,2024-04-12,executivo de contas
outubro,2024,355-77-3661,Bealle Fosdick,Dispensa sem Justa Causa,2024-08-06,gerente de planejamento
março,2024,418-14-7094,Penelope Godley,Dispensa sem Justa Causa,2024-09-26,coordenador de midia
junho,2024,588-63-3913,Brook Fuentez,Pedido de Demissão,2024-02-03,executivo de contas
agosto,2024,905-36-4226,Nikos Stegers,Dispensa sem Justa Causa,2024-01-06,diretor de criacao
setembro,2024,329-13-4565,Merna Saltern,Pedido de Demissão,2024-06-21,supervisor de planejamento
setembro,2024,564-90-9808,Brannon Raffels,Pedido de Demissão,2024-03-07,executivo de contas
abril,2024,836-95-8570,Melania Lequeux,Pedido de Demissão,2024-05-17,coordenador de midia
fevereiro,2024,576-72-1735,Harriott Lydiard,Dispensa sem Justa Causa,2024-09-01,diretor de criacao
junho,2024,601-14-2669,Leeanne Stabler,Pedido de Demissão,2024-04-28,diretor de criacao
janeiro,2024,328-10-5505,Gerty Leel,Pedido de Demissão,2024-11-28,executivo de contas
agosto,2024,266-42-2060,Jany Steggles,Pedido de Demissão,2024-06-28,coordenador de midia
abril,2024,660-37-5987,Kevin Loble,Pedido de Demissão,2024-07-05,diretor de criacao
abril,2024,688-88-3412,Joyan Swiers,Pedido de Demissão,2024-03-29,executivo de contas
julho,2024,865-66-8894,Massimo Spawell,Pedido de Demissão,2024-06-20,gerente de negocios
abril,2024,461-71-4466,Bertram Borrel,Pedido de Demissão,2024-12-24,gerente de planejamento
agosto,2024,316-16-3980,Myrta Jacobsohn,Dispensa sem Justa Causa,2024-12-14,diretor de criacao
novembro,2024,339-94-3224,Janaya Orro,Dispensa sem Justa Causa,2024-08-26,diretor de criacao
junho,2024,188-63-2302,Kizzie Siney,Dispensa sem Justa Causa,2024-04-09,coordenador de midia
dezembro,2024,994-63-7765,Ferguson Owtram,Dispensa sem Justa Causa,2024-07-13,coordenador de midia
junho,2024,200-30-3596,Ericka Burwood,Pedido de Demissão,2024-07-07,coordenador de midia
maio,2024,717-86-4323,Wilmette Bracci,Pedido de Demissão,2024-07-23,gerente de negocios
julho,2024,253-84-9181,Nils McGlue,Dispensa sem Justa Causa,2024-06-03,coordenador de midia
novembro,2024,876-81-8518,Asher Quakley,Pedido de Demissão,2024-03-26,gerente de planejamento
setembro,2024,696-54-4157,Dorian Wroath,Pedido de Demissão,2024-10-06,gerente de negocios
abril,2024,728-79-8083,Netty Sylvaine,Pedido de Demissão,2024-02-17,supervisor de planejamento
julho,2024,348-88-7329,Lacee Dyet,Dispensa sem Justa Causa,2024-12-18,diretor de criacao
junho,2024,126-97-9796,Harmony De Coursey,Pedido de Demissão,2024-08-12,gerente de planejamento
novembro,2024,611-74-7658,Alastair Uman,Pedido de Demissão,2024-04-14,diretor de criacao
maio,2024,639-52-6694,Lilas Finley,Pedido de Demissão,2024-12-16,gerente de negocios
novembro,2024,425-27-8444,Pamella Clee,Dispensa sem Justa Causa,2024-06-15,diretor de criacao
agosto,2024,531-83-5154,Lil Pyser,Pedido de Demissão,2024-01-29,executivo de contas
fevereiro,2024,763-14-6210,Shela Irwin,Dispensa sem Justa Causa,2024-02-11,diretor de criacao
maio,2024,768-41-1796,Margaretha Killingsworth,Pedido de Demissão,2024-05-07,gerente de negocios
abril,2024,570-15-8078,Izak Gilson,Pedido de Demissão,2024-12-15,gerente de negocios
setembro,2024,488-68-5851,Truman Girkin,Pedido de Demissão,2024-09-14,gerente de planejamento
fevereiro,2024,386-81-8405,Chadwick Dickings,Pedido de Demissão,2024-05-08,executivo de contas
julho,2024,633-88-9026,Chrysler Galletly,Dispensa sem Justa Causa,2024-03-30,executivo de contas
agosto,2024,647-55-5450,Maurine Dalman,Pedido de Demissão,2024-05-26,supervisor de planejamento
junho,2024,691-87-8800,Mehetabel Cristol,Dispensa sem Justa Causa,2024-11-25,diretor de criacao
dezembro,2024,199-94-2997,Gusella Haitlie,Pedido de Demissão,2024-08-08,executivo de contas
outubro,2024,945-43-3433,Raphaela Goldsberry,Dispensa sem Justa Causa,2024-07-08,diretor de criacao
novembro,2024,143-21-1968,Conroy Ferran,Dispensa sem Justa Causa,2024-10-11,gerente de negocios
junho,2024,815-79-7532,Caterina Ballinger,Pedido de Demissão,2024-02-01,coordenador de midia
fevereiro,2024,325-96-6450,Nollie O'Murtagh,Pedido de Demissão,2024-02-08,coordenador de midia
julho,2024,685-71-8943,Sonnie Mottershaw,Dispensa sem Justa Causa,2024-05-10,supervisor de planejamento
setembro,2024,807-70-6219,Cornelia Backshall,Dispensa sem Justa Causa,2024-11-04,coordenador de midia
fevereiro,2024,700-75-8905,Lisha Raoul,Dispensa sem Justa Causa,2024-07-13,supervisor de planejamento
agosto,2024,511-69-6110,Robinett Oultram,Pedido de Demissão,2024-02-06,executivo de contas
junho,2024,754-42-6811,Marlon Cornill,Dispensa sem Justa Causa,2024-06-08,executivo de contas
agosto,2024,798-43-8227,Joachim Sandercroft,Dispensa sem Justa Causa,2024-10-01,gerente de negocios
fevereiro,2024,429-30-5272,Jourdan Stigell,Pedido de Demissão,2024-02-10,executivo de contas
julho,2024,736-77-4559,Trudi Bruckshaw,Pedido de Demissão,2024-03-07,gerente de negocios
junho,2024,336-44-5251,Natalina Azemar,Pedido de Demissão,2024-02-17,supervisor de planejamento
agosto,2024,571-32-8533,Giffer Zelland,Dispensa sem Justa Causa,2024-04-23,gerente de negocios
junho,2024,639-96-2754,Letta Lowen,Dispensa sem Justa Causa,2024-12-02,diretor de criacao
agosto,2024,544-19-3354,Herbert Axup,Dispensa sem Justa Causa,2024-03-12,executivo de contas
maio,2024,579-28-7667,Aubree Bisp,Dispensa sem Justa Causa,2024-12-21,gerente de planejamento
junho,2024,480-90-4735,Aggi Ellul,Pedido de Demissão,2024-10-29,executivo de contas
dezembro,2024,578-53-8592,Wilma Schohier,Dispensa sem Justa Causa,2024-04-17,gerente de planejamento
setembro,2024,660-54-7622,Fonsie Aldwinckle,Dispensa sem Justa Causa,2024-07-09,diretor de criacao
novembro,2024,739-77-2314,Annabela Hencke,Pedido de Demissão,2024-12-09,diretor de criacao
maio,2024,406-77-9713,Winne Sartain,Pedido de Demissão,2024-01-16,executivo de contas
outubro,2024,782-18-6589,Selma Muirhead,Dispensa sem Justa Causa,2024-08-21,diretor de criacao
abril,2024,322-95-4978,Olenolin Gregolotti,Pedido de Demissão,2024-04-04,coordenador de midia
abril,2024,984-24-9162,Thomasina Whittenbury,Pedido de Demissão,2024-03-04,diretor de criacao
junho,2024,985-39-4912,Ansell Brims,Dispensa sem Justa Causa,2024-08-28,gerente de planejamento
agosto,2024,874-50-1388,Obed Sedgeman,Pedido de Demissão,2024-01-15,gerente de planejamento
março,2024,159-83-1889,Saunders Skeleton,Dispensa sem Justa Causa,2024-06-13,gerente de negocios
outubro,2024,352-71-1882,Craig Lytlle,Dispensa sem Justa Causa,2024-02-17,gerente de planejamento
maio,2024,363-73-6193,Myrle Theriot,Pedido de Demissão,2024-08-02,executivo de contas
setembro,2024,537-31-7267,Persis Chumley,Pedido de Demissão,2024-04-07,diretor de criacao
abril,2024,860-70-7756,Abie Hagley,Dispensa sem Justa Causa,2024-06-16,supervisor de planejamento
agosto,2024,367-67-4420,Grantley Blint,Pedido de Demissão,2024-02-01,gerente de planejamento
agosto,2024,106-10-6605,Susanetta Toulson,Pedido de Demissão,2024-03-15,supervisor de planejamento
setembro,2024,857-73-9601,Amargo Tolliday,Dispensa sem Justa Causa,2024-11-25,gerente de planejamento
junho,2024,899-50-8638,Harald Peppard,Dispensa sem Justa Causa,2024-01-10,coordenador de midia
março,2024,324-86-8688,Gino Redon,Pedido de Demissão,2024-05-24,supervisor de planejamento
julho,2024,970-30-5729,Abran Russon,Pedido de Demissão,2024-05-19,supervisor de planejamento
junho,2024,833-70-6097,Rutledge Caughte,Pedido de Demissão,2024-10-02,coordenador de midia
novembro,2024,491-85-1463,Basilius Kittman,Pedido de Demissão,2024-04-21,coordenador de midia
setembro,2024,295-95-3715,Humfrey Woolis,Pedido de Demissão,2024-07-09,supervisor de planejamento
dezembro,2024,491-88-5768,Natividad Pollen,Dispensa sem Justa Causa,2024-05-13,executivo de contas
setembro,2024,998-66-9821,Evita Lytton,Dispensa sem Justa Causa,2024-08-07,supervisor de planejamento
novembro,2024,192-68-9664,Armand Thomann,Pedido de Demissão,2024-10-15,gerente de planejamento
março,2024,226-36-8072,Hastings Goakes,Pedido de Demissão,2024-02-26,executivo de contas
julho,2024,806-20-1698,Philipa Kield,Dispensa sem Justa Causa,2024-06-13,supervisor de planejamento
setembro,2024,997-35-7341,Denna Matchitt,Pedido de Demissão,2024-07-05,gerente de planejamento
abril,2024,743-10-7827,Jolie Blose,Dispensa sem Justa Causa,2024-10-09,gerente de planejamento
agosto,2024,976-66-9315,Tally Jakubczyk,Dispensa sem Justa Causa,2024-12-08,gerente de negocios
setembro,2024,286-36-4775,Pen Auchinleck,Dispensa sem Justa Causa,2024-10-14,gerente de planejamento
junho,2024,292-45-8655,Malorie Mendenhall,Pedido de Demissão,2024-10-15,gerente de negocios
março,2024,960-17-5895,Bernadina Bassam,Dispensa sem Justa Causa,2024-06-26,diretor de criacao
maio,2024,952-65-5383,Brenda Sarll,Dispensa sem Justa Causa,2024-08-30,supervisor de planejamento
novembro,2024,235-67-7507,Brandea Duesberry,Pedido de Demissão,2024-12-04,diretor de criacao
abril,2024,399-62-5157,Patric Brickner,Pedido de Demissão,2024-07-07,coordenador de midia
maio,2024,783-31-3189,Artair Matovic,Dispensa sem Justa Causa,2024-10-11,diretor de criacao
abril,2024,517-86-9341,Ashla Raulston,Pedido de Demissão,2024-02-20,gerente de planejamento
julho,2024,674-36-1388,Vanny Jeffry,Pedido de Demissão,2024-06-19,diretor de criacao
outubro,2024,280-95-5650,Montgomery McNeilley,Pedido de Demissão,2024-06-09,supervisor de planejamento
outubro,2024,657-24-8425,Delmore Earle,Pedido de Demissão,2024-10-03,supervisor de planejamento
julho,2024,624-42-1253,Vivyan Mankor,Pedido de Demissão,2024-06-13,coordenador de midia
maio,2024,560-73-4037,Datha Frude,Pedido de Demissão,2024-04-11,gerente de negocios
abril,2024,446-85-4031,Margy Plumbley,Pedido de Demissão,2024-07-04,gerente de planejamento
fevereiro,2024,683-54-2685,Kirby Jeayes,Dispensa sem Justa Causa,2024-09-09,diretor de criacao
setembro,2024,434-96-6740,Garek Schlag,Dispensa sem Justa Causa,2024-11-08,gerente de planejamento
junho,2024,269-56-4229,Clovis Quye,Dispensa sem Justa Causa,2024-01-19,gerente de planejamento
agosto,2024,972-59-7674,Ainslee Capelen,Pedido de Demissão,2024-09-24,coordenador de midia
janeiro,2024,419-69-3071,Joan Hughes,Dispensa sem Justa Causa,2024-09-23,supervisor de planejamento
outubro,2024,246-78-4428,Elnar Skillings,Dispensa sem Justa Causa,2024-02-25,coordenador de midia
junho,2024,378-23-2082,Sondra Westover,Dispensa sem Justa Causa,2024-10-20,coordenador de midia
fevereiro,2024,876-98-3641,Chrissie Foulser,Dispensa sem Justa Causa,2024-03-27,executivo de contas
junho,2024,947-28-4458,Ham Reddish,Dispensa sem Justa Causa,2024-12-30,gerente de planejamento
setembro,2024,635-47-2435,Demetra Cowing,Dispensa sem Justa Causa,2024-09-13,supervisor de planejamento
agosto,2024,127-92-9516,Brandise Rainsden,Dispensa sem Justa Causa,2024-09-23,executivo de contas
janeiro,2024,142-96-6804,Chiquia Skea,Dispensa sem Justa Causa,2024-08-26,supervisor de planejamento
outubro,2024,435-31-2169,Dennison Lindblad,Pedido de Demissão,2024-11-18,supervisor de planejamento
março,2024,131-26-5663,Ferris Le Surf,Dispensa sem Justa Causa,2024-10-29,supervisor de planejamento
abril,2024,552-86-8187,Libbi Parken,Pedido de Demissão,2024-10-15,executivo de contas
dezembro,2024,669-58-5764,Broddy Tiner,Pedido de Demissão,2024-08-13,supervisor de planejamento
junho,2024,187-88-8330,Chloe Surcombe,Pedido de Demissão,2024-11-03,supervisor de planejamento
janeiro,2024,983-36-7243,Wayne Lazell,Dispensa sem Justa Causa,2024-07-22,executivo de contas
julho,2024,614-13-2027,Webb Bonnavant,Dispensa sem Justa Causa,2024-08-12,executivo de contas
dezembro,2024,202-22-5919,Janina Haggett,Dispensa sem Justa Causa,2024-07-01,coordenador de midia
outubro,2024,241-15-8703,Genna Bremner,Dispensa sem Justa Causa,2024-08-21,gerente de negocios
abril,2024,411-65-7663,Cristian Overy,Pedido de Demissão,2024-02-26,gerente de planejamento
abril,2024,882-57-7933,Glynda Grut,Dispensa sem Justa Causa,2024-11-28,supervisor de planejamento
fevereiro,2024,652-12-4506,Maribeth Fenimore,Pedido de Demissão,2024-11-01,coordenador de midia
outubro,2024,989-21-5635,Rickard Desmond,Dispensa sem Justa Causa,2024-03-01,diretor de criacao
outubro,2024,691-60-8494,Burtie Francklin,Dispensa sem Justa Causa,2024-06-07,executivo de contas
julho,2024,814-86-7088,Aldwin Salthouse,Dispensa sem Justa Causa,2024-01-29,gerente de negocios
outubro,2024,969-87-2797,Vanny Mathouse,Pedido de Demissão,2024-09-14,executivo de contas
agosto,2024,492-34-8783,Cosimo Whilde,Dispensa sem Justa Causa,2024-04-26,coordenador de midia
julho,2024,128-81-6834,Danika Ping,Dispensa sem Justa Causa,2024-09-02,supervisor de planejamento
agosto,2024,692-63-8797,Nolana Filyashin,Dispensa sem Justa Causa,2024-08-06,supervisor de planejamento
agosto,2024,721-91-8220,Rockie Lehmann,Pedido de Demissão,2024-05-19,gerente de planejamento
dezembro,2024,275-30-8775,Pippa Siege,Dispensa sem Justa Causa,2024-07-24,executivo de contas
fevereiro,2024,101-76-4440,Bret Toulch,Dispensa sem Justa Causa,2024-01-03,executivo de contas
março,2024,918-67-9595,Celestyn Pleasaunce,Pedido de Demissão,2024-06-10,executivo de contas
agosto,2024,913-35-8032,Adey Sargeant,Dispensa sem Justa Causa,2024-05-13,supervisor de planejamento
setembro,2024,344-91-8470,Rees Dufaire,Dispensa sem Justa Causa,2024-11-21,executivo de contas
dezembro,2024,115-50-6543,Rik Josefsohn,Dispensa sem Justa Causa,2024-09-10,diretor de criacao
julho,2024,207-70-2807,Howey Lelande,Dispensa sem Justa Causa,2024-05-21,executivo de contas
junho,2024,438-93-9505,Sunny Fawdry,Pedido de Demissão,2024-05-31,supervisor de planejamento
dezembro,2024,752-51-5220,Isabella Lewnden,Pedido de Demissão,2024-05-04,executivo de contas
maio,2024,151-81-8844,Babb Hintzer,Pedido de Demissão,2024-09-02,gerente de negocios
dezembro,2024,962-79-1740,Rosa Sutherley,Dispensa sem Justa Causa,2024-11-23,coordenador de midia
agosto,2024,998-27-1154,Lanna Morton,Pedido de Demissão,2024-07-15,supervisor de planejamento
janeiro,2024,400-76-6354,Alphard Itzik,Dispensa sem Justa Causa,2024-08-02,gerente de negocios
janeiro,2024,786-82-3631,Marcelle Janoch,Dispensa sem Justa Causa,2024-01-09,gerente de negocios
maio,2024,212-87-1060,Jamill Shapcote,Dispensa sem Justa Causa,2024-04-27,gerente de planejamento
abril,2024,318-67-7782,Farlay Lestor,Pedido de Demissão,2024-10-19,gerente de negocios
agosto,2024,737-85-9270,Bobbye Pafford,Dispensa sem Justa Causa,2024-09-09,gerente de negocios
janeiro,2024,901-81-9938,Jerrylee Stodhart,Dispensa sem Justa Causa,2024-02-03,executivo de contas
setembro,2024,119-38-2317,Bibby Chuck,Pedido de Demissão,2024-10-01,supervisor de planejamento
outubro,2024,938-79-4593,Karalynn Bartali,Dispensa sem Justa Causa,2024-04-17,coordenador de midia
novembro,2024,892-15-9795,Zola Zuanelli,Dispensa sem Justa Causa,2024-08-21,gerente de planejamento
agosto,2024,556-42-9374,Raynard Magrannell,Dispensa sem Justa Causa,2024-11-16,coordenador de midia
fevereiro,2024,305-24-4734,Llewellyn Locksley,Dispensa sem Justa Causa,2024-07-01,executivo de contas
março,2024,221-29-4486,Joanie Mingaud,Dispensa sem Justa Causa,2024-04-27,gerente de planejamento
fevereiro,2024,951-60-3561,Merline Feben,Dispensa sem Justa Causa,2024-08-30,supervisor de planejamento
junho,2024,941-88-8404,Field Steptoe,Pedido de Demissão,2024-08-06,gerente de planejamento
fevereiro,2024,258-10-5341,Torey Attlee,Pedido de Demissão,2024-01-09,diretor de criacao
maio,2024,582-48-5822,Elane Aspell,Dispensa sem Justa Causa,2024-03-22,executivo de contas
setembro,2024,327-69-6544,Halette Denniston,Pedido de Demissão,2024-08-12,diretor de criacao
junho,2024,422-51-7601,Alfi Schmidt,Pedido de Demissão,2024-11-21,gerente de negocios
setembro,2024,787-86-2972,Northrop Manssuer,Pedido de Demissão,2024-02-15,gerente de planejamento
outubro,2024,841-96-4608,Jose Baggs,Dispensa sem Justa Causa,2024-10-13,gerente de planejamento
julho,2024,698-35-4004,Deirdre Albers,Dispensa sem Justa Causa,2024-06-12,gerente de negocios
fevereiro,2024,531-49-4188,Darb Penswick,Dispensa sem Justa Causa,2024-10-26,executivo de contas
setembro,2024,512-14-3571,Zelig Britee,Dispensa sem Justa Causa,2024-01-09,gerente de planejamento
novembro,2024,818-16-8482,Eran Filliskirk,Dispensa sem Justa Causa,2024-03-03,executivo de contas
novembro,2024,385-92-3885,Stanislas McLevie,Pedido de Demissão,2024-11-06,gerente de negocios
abril,2024,617-85-2903,Arlie Blakeslee,Pedido de Demissão,2024-11-13,gerente de planejamento
março,2024,267-71-5386,Hanni Duncan,Dispensa sem Justa Causa,2024-07-22,diretor de criacao
outubro,2024,460-72-9740,Peadar Pavett,Dispensa sem Justa Causa,2024-02-28,executivo de contas
novembro,2024,669-13-6515,Millisent Whyffen,Pedido de Demissão,2024-04-23,supervisor de planejamento
março,2024,237-68-7859,Lib Filipiak,Dispensa sem Justa Causa,2024-07-18,gerente de negocios
setembro,2024,704-64-9471,Mitchael Andino,Pedido de Demissão,2024-03-24,diretor de criacao
